symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl,exchange
BTC,SHORT,971.02,74694.2,0.013,1773636901447,bybit,,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.01277,950.02,0xbbdb1acc...,-25.12,
BTC,SHORT,950.02,74395.0,0.01277,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,946.98,74390.0,0.01273,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,921.72,74392.0,0.01239,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,822.7,74790.5,0.011,1773636902444,bybit,,,,,,,,,
BTC,LONG,812.04,73822.1,1.1,1773636981328,okx,,,,,,,,,
BTC,LONG,768.33,73878.2,1.04,1773636966529,okx,,,,,,,,,
BTC,SHORT,747.97,74796.8,0.01,1773636902444,bybit,,,,,,,,,
BTC,SHORT,747.78,74778.2,0.01,1773636902444,bybit,,,,,,,,,
BTC,LONG,701.41,73832.2,0.95,1773636976761,okx,,,,,,,,,
BTC,SHORT,689.63,74394.0,0.00927,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,673.06,74784.6,0.009,1773636901949,bybit,,,,,,,,,
BTC,SHORT,673.03,74781.6,0.009,1773636902444,bybit,,,,,,,,,
BTC,SHORT,672.7,74744.3,0.009,1773636902943,bybit,,,,,,,,,
BTC,SHORT,672.66,74740.0,0.009,1773636902943,bybit,,,,,,,,,
BTC,SHORT,672.2334,74692.6,0.009,1773636904520,binance,LIMIT,74323.0,FILLED,,,,,,
BTC,SHORT,598.08,74759.7,0.008,1773636902943,bybit,,,,,,,,,
BTC,SHORT,523.37,74766.5,0.007,1773636901949,bybit,,,,,,,,,
BTC,SHORT,522.7,74671.8,0.007,1773636901447,bybit,,,,,,,,,
BTC,SHORT,470.9,74392.0,0.00633,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,448.56,74760.0,0.006,1773636902444,bybit,,,,,,,,,
BTC,SHORT,447.87,74645.6,0.006,1773636901447,bybit,,,,,,,,,
BTC,SHORT,409.91,74394.0,0.00551,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,373.88,74775.3,0.005,1773636901949,bybit,,,,,,,,,
BTC,SHORT,373.86,74771.4,0.005,1773636901949,bybit,,,,,,,,,
BTC,SHORT,373.7,74740.0,0.005,1773636902943,bybit,,,,,,,,,
BTC,SHORT,373.66,74731.0,0.005,1773636900944,bybit,,,,,,,,,
BTC,SHORT,373.425,74685.0,0.005,1773636902204,binance,LIMIT,74394.5,FILLED,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.00498,370.49,0xb13b09de...,-14.5,
BTC,SHORT,370.49,74395.0,0.00498,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,316.17,74394.0,0.00425,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,304.84,74351.0,0.41,1773636900855,okx,,,,,,,,,
BTC,SHORT,299.07,74767.2,0.004,1773636902444,bybit,,,,,,,,,
BTC,SHORT,299.05,74761.4,0.004,1773636902444,bybit,,,,,,,,,
BTC,SHORT,299.01,74752.3,0.004,1773636902444,bybit,,,,,,,,,
BTC,SHORT,299.01,74752.9,0.004,1773636902444,bybit,,,,,,,,,
BTC,SHORT,298.98,74744.0,0.004,1773636902444,bybit,,,,,,,,,
BTC,SHORT,224.33,74775.1,0.003,1773636902444,bybit,,,,,,,,,
BTC,SHORT,224.31,74768.8,0.003,1773636902444,bybit,,,,,,,,,
BTC,SHORT,224.03,74677.4,0.003,1773636901949,bybit,,,,,,,,,
,long,,74364.0,,2026-03-16T04:55:05.098000,hyperliquid,,,,BTC,0.00287,213.42,0x777e61dc...,8.56,
BTC,LONG,213.42,74364.0,0.00287,1773636905098,hyperliquid,,,,,,,,,hyperliquid
BTC-USD,SHORT,200.0,74662.7,2.0,1773636901508,okx,,,,,,,,,
BTC,SHORT,198.62,74391.0,0.00267,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,149.59,74797.2,0.002,1773636902444,bybit,,,,,,,,,
BTC,SHORT,149.58,74791.4,0.002,1773636901949,bybit,,,,,,,,,
BTC,SHORT,149.56,74778.3,0.002,1773636902444,bybit,,,,,,,,,
BTC,SHORT,149.54,74769.0,0.002,1773636901949,bybit,,,,,,,,,
BTC,SHORT,149.53,74762.7,0.002,1773636901949,bybit,,,,,,,,,
BTC,SHORT,149.5,74748.6,0.002,1773636902444,bybit,,,,,,,,,
BTC,SHORT,120.51,74390.0,0.00162,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,119.53,74707.2,0.16,1773636903550,okx,,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.0014,104.15,0xed45fe45...,-1.23,
BTC,SHORT,104.15,74395.0,0.0014,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,90.76,74394.0,0.00122,1773636901939,hyperliquid,,,,,,,,,hyperliquid
,short,,74394.0,,2026-03-16T04:55:01.939000,hyperliquid,,,,BTC,0.00101,75.14,0xb13b09de...,-2.94,
BTC,SHORT,75.14,74394.0,0.00101,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,74.8,74797.8,0.001,1773636901949,bybit,,,,,,,,,
BTC,SHORT,74.79,74786.8,0.001,1773636901949,bybit,,,,,,,,,
BTC,SHORT,74.77,74766.0,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.76,74762.7,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.75,74751.9,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.75,74746.8,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.75,74750.5,0.001,1773636901949,bybit,,,,,,,,,
BTC,SHORT,74.74,74740.0,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.74,74738.5,0.001,1773636902444,bybit,,,,,,,,,
BTC,SHORT,74.74,74740.4,0.001,1773636901949,bybit,,,,,,,,,
BTC,SHORT,50.59,74392.0,0.00068,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,20.09,74394.0,0.00027,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,14.88,74391.0,0.0002,1773636901939,hyperliquid,,,,,,,,,hyperliquid
BTC,SHORT,11.16,74393.0,0.00015,1773636901939,hyperliquid,,,,,,,,,hyperliquid
